seconds,accX,accY,accZ
10.0,-0.92,-0.03,0.45
11.0,-0.92,-0.04,0.45
12.0,-0.92,-0.05,0.44
14.0,-0.92,-0.06,0.46
15.0,-0.92,0.03,0.42
16.0,-0.91,-0.04,0.44
17.0,-0.92,-0.03,0.44
18.0,-0.92,-0.03,0.45
19.0,-0.92,-0.04,0.44
20.0,-0.91,-0.03,0.45
21.0,-0.91,-0.03,0.45
22.0,-0.92,-0.03,0.44
24.0,-0.92,-0.05,0.45
25.0,-0.91,-0.03,0.45
26.0,-0.92,-0.03,0.45
27.0,-0.92,-0.05,0.45
28.0,-0.84,-0.04,0.61
29.0,-0.14,0.71,1.36
30.0,-0.69,0.33,0.79
31.0,-0.18,0.32,0.7
32.0,-0.44,0.65,0.81
33.0,-0.79,0.29,0.93
35.0,-0.8,0.24,0.65
36.0,-0.79,0.53,0.87
37.0,-0.64,0.87,0.93
38.0,-0.5,0.53,0.55
39.0,-0.25,0.44,0.71
40.0,0.07,0.21,0.92
41.0,-0.21,0.28,0.92
42.0,-0.78,0.57,0.78
43.0,-1.56,0.71,0.69
45.0,-0.65,0.58,0.8
46.0,-0.49,0.59,0.76
47.0,-0.11,0.39,0.57
48.0,-0.78,0.55,1.0
49.0,-0.9,0.86,0.9
50.0,0.22,0.08,0.43
51.0,-0.91,0.72,0.93
52.0,-0.66,0.81,0.6
53.0,0.1,0.03,0.42
54.0,-0.67,0.71,0.78
56.0,-0.76,1.01,0.84
57.0,0.31,-0.15,0.42
58.0,-0.75,0.91,0.67
59.0,-0.77,0.9,0.73
60.0,0.15,0.04,0.27
61.0,-0.68,0.98,0.73
62.0,-0.57,0.78,0.65
63.0,0.09,0.23,0.5
64.0,-0.61,0.87,0.72
66.0,-0.72,0.9,0.61
67.0,0.03,0.12,0.43
68.0,-0.55,0.9,0.62
69.0,-0.61,0.73,0.61
70.0,-0.08,0.47,0.56
71.0,-0.41,0.57,0.43
72.0,-0.74,0.78,0.68
73.0,-0.58,0.8,0.74
74.0,0.13,0.37,0.32
76.0,-0.84,1.1,0.77
77.0,-0.68,1.21,0.7
78.0,0.09,-0.03,0.33
79.0,-0.68,0.8,0.96
80.0,-0.72,0.67,0.63
81.0,-0.43,0.74,0.69
82.0,0.21,0.36,0.52
83.0,-0.31,0.73,0.66
84.0,-0.49,0.59,0.81
85.0,-0.15,0.7,0.59
87.0,-0.06,0.4,0.57
88.0,-0.47,0.87,0.62
89.0,-0.39,0.76,0.55
90.0,-0.55,1.19,0.59
91.0,-0.17,0.82,0.42
92.0,-0.0,0.45,0.55
93.0,-0.65,0.9,0.72
94.0,-0.62,1.09,0.52
95.0,-0.39,1.01,0.29
97.0,-0.92,1.0,0.69
98.0,-0.77,0.83,0.56
99.0,0.09,0.31,0.47
100.0,-0.9,0.85,0.64
101.0,-0.51,0.81,0.56
102.0,-0.23,0.39,0.58
103.0,-0.7,0.6,0.62
104.0,-0.5,0.99,0.53
105.0,-0.12,0.8,0.47
107.0,-0.59,0.76,0.49
108.0,-0.43,1.02,0.68
109.0,0.03,0.42,0.63
110.0,-0.74,0.95,0.66
111.0,-0.54,0.93,0.53
112.0,-0.07,0.32,0.3
113.0,-0.11,0.69,0.43
114.0,-0.57,0.98,0.61
115.0,-0.74,0.96,0.61
116.0,-0.22,0.81,0.51
118.0,0.09,0.4,0.35
119.0,-0.67,1.09,0.62
120.0,-0.62,0.75,0.62
121.0,-0.38,0.75,0.67
122.0,0.18,0.26,0.48
123.0,-0.53,0.97,0.37
124.0,-0.74,0.92,0.52
125.0,-0.48,0.89,0.71
126.0,0.1,0.37,0.3
128.0,-0.48,0.88,0.5
129.0,-0.72,0.74,0.56
130.0,-0.6,1.07,0.5
131.0,-0.34,0.89,0.53
132.0,0.22,0.28,0.48
133.0,-0.58,0.82,0.45
134.0,-0.64,0.83,0.48
135.0,-0.27,0.56,0.46
136.0,-1.04,1.27,0.45
137.0,-0.71,1.09,0.57
139.0,0.02,0.4,0.44
140.0,-0.72,0.88,0.52
141.0,-0.58,0.87,0.52
142.0,-0.29,0.71,0.5
143.0,-0.01,0.52,0.5
144.0,-0.48,0.67,0.41
145.0,-0.7,0.95,0.53
146.0,-0.71,0.91,0.49
147.0,-0.16,0.83,0.54
149.0,-0.04,0.54,0.49
150.0,-0.2,0.78,0.45
151.0,-0.49,0.73,0.47
152.0,-0.4,1.0,0.45
153.0,0.07,0.59,0.57
154.0,0.18,0.38,0.5
155.0,-0.3,0.96,0.65
156.0,-0.69,0.83,0.68
157.0,-0.8,0.53,0.64
158.0,-0.7,0.86,0.56
160.0,-0.37,0.76,0.67
161.0,0.0,0.59,0.53
162.0,0.03,0.82,0.39
163.0,0.01,0.68,0.56
164.0,-0.13,0.95,0.48
165.0,-0.52,0.92,0.49
166.0,-0.75,0.97,0.48
167.0,-0.87,1.02,0.61
168.0,-0.13,0.6,0.72
170.0,-0.22,0.68,0.57
171.0,-0.75,1.06,0.4
172.0,-0.81,1.06,0.39
173.0,0.07,0.18,0.37
174.0,-0.89,1.18,0.57
175.0,-0.69,1.02,0.52
176.0,-0.02,0.49,0.28
177.0,-0.85,1.17,0.46
178.0,-0.6,1.03,0.56
180.0,0.26,0.34,0.28
181.0,-0.85,1.01,0.4
182.0,-0.83,1.38,0.37
183.0,0.07,0.2,0.23
184.0,-0.63,0.94,0.52
185.0,-0.64,1.03,0.43
186.0,-0.25,0.7,0.43
187.0,-0.72,0.8,0.39
188.0,-0.18,0.4,0.3
189.0,-0.74,1.04,0.35
191.0,-0.8,0.97,0.29
192.0,0.21,0.13,0.27
193.0,-0.88,1.23,0.3
194.0,-0.65,1.03,0.39
195.0,-0.01,0.13,0.31
196.0,-0.71,0.91,0.26
197.0,-0.83,0.93,0.34
198.0,-0.4,0.74,0.2
199.0,-0.17,0.59,0.43
201.0,-0.87,1.0,0.35
202.0,-0.73,1.05,0.4
203.0,-0.14,0.78,0.37
204.0,-0.21,0.61,0.23
205.0,-0.81,0.96,0.35
206.0,-0.8,0.71,0.46
207.0,-0.8,0.97,0.33
208.0,-0.84,0.92,0.33
209.0,-1.1,1.05,0.28
210.0,-0.88,0.64,0.3
212.0,-0.62,1.03,0.32
213.0,-0.1,0.84,0.23
214.0,-0.25,0.5,0.19
215.0,0.06,0.25,0.44
216.0,-0.33,0.74,0.38
217.0,-0.49,0.97,0.46
218.0,-0.74,0.94,0.32
219.0,-0.5,0.87,0.27
220.0,-0.29,0.61,0.24
222.0,-0.73,0.92,0.36
223.0,-0.73,1.01,0.4
224.0,-0.01,0.4,0.33
225.0,-0.75,0.94,0.29
226.0,-1.31,2.0,0.25
227.0,0.15,0.16,0.24
228.0,-0.72,1.09,0.24
229.0,-0.88,0.97,0.38
230.0,0.07,0.32,0.3
231.0,-0.67,0.83,0.29
233.0,-0.85,0.83,0.31
234.0,-0.76,1.31,0.27
235.0,0.38,0.26,0.13
236.0,-0.73,0.85,0.28
237.0,-0.75,0.82,0.33
238.0,-0.59,0.99,0.26
239.0,-0.47,0.88,0.28
240.0,0.07,0.54,0.19
241.0,-0.36,0.81,0.31
243.0,-0.76,0.83,0.27
244.0,-0.71,0.64,0.41
245.0,-0.76,1.02,0.25
246.0,-0.6,0.98,0.37
247.0,-0.14,0.52,0.25
248.0,-0.06,0.53,0.36
249.0,-0.65,0.81,0.27
250.0,-0.71,0.91,0.19
251.0,-0.83,0.95,0.49
253.0,-0.51,0.62,0.31
254.0,-0.1,0.81,0.25
255.0,-0.71,0.74,0.33
256.0,-0.8,0.69,0.43
257.0,-0.95,1.0,0.44
258.0,-0.3,0.66,0.33
259.0,-0.24,0.6,0.23
260.0,-0.94,1.0,0.27
261.0,-0.72,0.97,0.43
262.0,-0.16,0.56,0.23
264.0,-0.88,1.04,0.2
265.0,-0.81,1.0,0.33
266.0,0.06,0.29,0.26
267.0,-0.59,0.79,0.23
268.0,-0.94,0.69,0.35
269.0,-0.75,0.66,0.36
270.0,-0.77,0.9,0.21
271.0,-0.96,0.78,0.28
272.0,-0.54,0.82,0.33
274.0,-0.18,0.73,0.3
275.0,-0.35,0.66,0.56
276.0,-0.48,0.83,0.24
277.0,-0.53,0.79,0.52
278.0,-0.48,0.81,0.08
279.0,-0.25,0.6,0.21
280.0,-0.3,0.84,0.13
281.0,-0.39,0.61,0.38
282.0,-0.84,0.89,0.25
284.0,-0.73,0.91,0.29
285.0,-0.0,0.22,0.26
286.0,-0.16,0.81,0.3
