seconds,accX,accY,accZ
8.0,0.06,0.17,-1.04
9.0,0.06,0.16,-0.9
10.0,0.07,0.21,-0.93
11.0,-0.01,0.54,-0.82
12.0,-0.07,0.63,-0.68
13.0,-0.59,0.58,0.57
15.0,-0.27,0.58,0.91
16.0,-0.23,-0.11,1.06
17.0,-0.29,-0.02,0.99
18.0,-0.75,0.49,0.49
19.0,-0.89,0.33,0.16
20.0,-0.68,0.7,0.68
21.0,-0.56,0.11,0.92
22.0,-0.97,-0.04,0.43
23.0,-0.58,-0.14,0.77
25.0,-0.36,-0.72,0.94
26.0,-0.48,0.03,1.06
27.0,-0.66,-0.45,0.76
28.0,-0.48,-1.0,0.53
29.0,-0.45,-0.8,0.5
30.0,-0.92,-0.42,0.44
31.0,-0.56,-0.34,0.77
32.0,-0.41,-0.42,0.87
33.0,-0.76,-0.05,0.7
34.0,-0.64,0.11,0.8
36.0,-0.88,0.39,0.7
37.0,-0.82,0.66,0.71
38.0,-0.25,1.03,-0.35
39.0,-1.9,0.92,-0.02
40.0,-0.77,0.23,0.24
41.0,-1.23,0.12,0.21
42.0,-0.96,0.35,0.17
43.0,-1.12,0.06,-0.15
44.0,-0.84,0.51,-0.16
46.0,-0.87,0.78,-0.19
47.0,-1.71,0.89,0.55
48.0,-1.0,0.6,0.1
49.0,-0.42,-0.11,0.73
50.0,-1.66,1.11,-0.62
51.0,-2.0,1.15,1.32
52.0,-0.12,0.69,-0.68
53.0,-0.59,0.24,0.56
54.0,-2.0,0.43,-0.13
56.0,-2.0,0.86,0.74
57.0,-0.44,0.93,0.16
58.0,-0.42,-0.59,0.01
59.0,-0.99,0.24,0.29
60.0,-2.0,0.2,0.57
61.0,-1.14,-0.45,-0.21
62.0,-0.59,0.88,0.78
63.0,-0.73,0.59,-0.36
64.0,-0.59,-0.11,-0.86
65.0,-0.54,0.24,-0.39
67.0,0.46,-0.11,-0.1
68.0,-1.26,0.64,0.45
69.0,-0.53,1.57,-0.62
70.0,-1.03,0.19,-1.18
71.0,-2.0,0.26,0.48
72.0,0.34,-0.37,-1.41
73.0,-0.64,0.37,-0.74
74.0,-1.04,0.98,0.39
75.0,-1.8,0.67,1.37
77.0,-2.0,1.46,-0.33
78.0,-1.53,0.19,-0.9
79.0,0.47,0.65,0.45
80.0,-0.3,-1.75,0.19
81.0,-2.0,0.78,1.94
82.0,-2.0,0.67,0.35
83.0,0.08,-1.1,-1.14
84.0,0.03,0.02,0.49
85.0,0.59,-1.48,0.19
86.0,-1.68,0.36,-0.29
88.0,-1.55,0.02,0.47
89.0,-0.98,0.91,1.06
90.0,-0.36,0.77,0.42
91.0,-0.43,-0.39,-0.27
92.0,-0.79,-0.23,0.6
93.0,-2.0,0.83,0.09
94.0,-0.14,-1.68,-0.27
95.0,0.16,-0.13,0.27
96.0,1.01,-0.29,-0.38
98.0,-1.29,0.99,0.76
99.0,-2.0,0.51,0.19
100.0,-2.0,-0.56,1.6
101.0,0.59,1.18,0.34
102.0,-0.13,-0.59,-0.25
103.0,-1.27,0.09,-0.68
104.0,-0.44,-0.34,0.19
105.0,0.91,-0.29,-0.28
106.0,-2.0,1.41,0.12
108.0,-2.0,0.28,0.6
109.0,0.1,-0.27,-1.9
110.0,-0.33,1.42,-0.43
111.0,0.27,-0.81,0.09
112.0,-2.0,0.88,-1.07
113.0,-2.0,-0.06,0.13
114.0,-1.41,0.93,1.03
115.0,-0.4,0.17,1.11
116.0,-1.44,2.0,0.05
117.0,0.63,-0.55,-2.0
119.0,0.28,0.44,0.24
120.0,0.34,-0.57,-0.32
121.0,-2.0,0.24,-0.58
6.0,-1.25,1.19,-0.49
8.0,0.35,0.28,0.31
8.0,-2.0,0.04,0.41
9.0,-0.43,0.38,0.35
10.0,-1.93,1.53,-0.48
11.0,0.38,-0.69,-0.14
13.0,0.21,1.05,0.09
14.0,-0.3,-1.08,-0.0
15.0,-2.0,0.52,-0.32
16.0,-1.21,-0.29,-0.36
17.0,0.84,-0.52,0.03
18.0,-2.0,2.0,-0.57
19.0,-2.0,-0.1,0.75
20.0,-0.63,0.58,0.58
21.0,-0.94,0.19,0.66
22.0,-2.0,1.33,-0.02
24.0,-0.42,0.15,-0.54
25.0,-0.6,0.1,0.49
26.0,-2.0,0.67,0.12
27.0,0.1,0.54,-0.13
28.0,-0.72,0.31,1.08
29.0,-1.93,0.46,-0.65
30.0,-0.51,0.41,0.25
