seconds,accX,accY,accZ
112.0,0.42,-0.14,-0.8
113.0,0.43,-0.15,-0.82
114.0,0.47,-0.13,-0.85
8.0,0.53,-0.09,-0.85
9.0,0.53,-0.09,-0.8
10.0,0.52,-0.11,-0.84
11.0,0.39,-0.14,-0.89
13.0,0.62,0.14,-0.62
14.0,0.54,0.02,-0.63
15.0,-0.36,0.18,-0.79
16.0,0.18,0.29,-0.84
17.0,0.54,0.07,-0.67
18.0,0.66,-0.15,-0.82
19.0,0.66,0.02,-0.75
20.0,0.7,0.48,-0.36
21.0,0.71,0.26,-0.14
22.0,0.76,0.18,-0.57
24.0,0.79,0.21,-0.56
25.0,0.94,0.11,-0.37
26.0,0.62,0.42,-0.74
27.0,0.15,0.54,-1.02
28.0,0.16,0.43,-0.8
29.0,-0.73,1.2,-0.62
30.0,-0.55,0.84,-0.53
31.0,-0.58,1.1,-0.28
32.0,-0.25,1.24,0.22
34.0,-0.18,1.17,0.16
35.0,-0.33,1.15,0.19
36.0,-0.28,0.98,0.53
37.0,0.01,0.9,-0.17
38.0,-0.83,0.63,0.37
39.0,-0.93,0.75,-0.09
40.0,-0.67,0.63,-0.09
41.0,-0.64,0.55,0.09
42.0,-0.76,0.74,-0.0
43.0,-0.94,0.61,0.24
45.0,-0.93,0.62,0.24
46.0,-0.92,0.7,0.08
47.0,-0.81,0.93,0.0
48.0,-0.97,0.71,0.11
49.0,-0.94,0.67,0.24
50.0,-0.98,0.47,-0.11
51.0,-0.79,0.55,-0.08
52.0,-0.76,0.53,0.02
53.0,-0.78,0.52,-0.0
55.0,-0.74,0.41,0.09
56.0,-0.79,0.23,0.07
57.0,-0.8,0.26,0.2
58.0,-0.78,0.25,0.06
59.0,-0.71,0.24,0.13
60.0,-0.73,0.27,0.27
61.0,-0.74,0.33,0.01
62.0,-0.73,0.38,0.08
63.0,-0.67,0.43,0.13
64.0,-0.7,0.49,0.06
66.0,-0.61,0.8,0.09
67.0,-0.88,0.65,0.23
68.0,-0.86,0.8,0.1
69.0,-0.74,1.11,0.16
70.0,-0.99,1.24,-0.12
71.0,-1.27,1.11,0.19
72.0,-1.6,0.13,-0.19
73.0,-1.54,0.49,-0.26
74.0,-1.72,0.79,0.38
76.0,-1.11,0.66,0.31
77.0,-0.85,0.63,0.07
78.0,-0.7,0.7,-0.88
79.0,-0.11,0.42,-0.08
80.0,-0.32,-0.14,0.07
81.0,-0.43,-0.18,0.06
82.0,-0.41,-0.27,-0.08
83.0,-0.04,-0.11,0.26
84.0,-0.94,1.23,1.67
86.0,-2.0,0.95,2.0
87.0,-0.16,-0.27,0.94
88.0,-1.56,0.18,0.93
89.0,-1.45,2.0,0.35
90.0,-0.01,-0.27,-0.9
91.0,-0.52,-2.0,1.22
92.0,-0.7,0.15,-1.3
93.0,-1.61,1.33,-0.97
94.0,-0.26,1.57,0.59
95.0,-0.58,0.44,-0.14
97.0,-0.71,0.18,0.23
98.0,-0.73,0.43,0.15
99.0,-0.69,0.58,-0.03
100.0,-0.85,0.83,0.01
101.0,-0.79,1.22,-0.18
102.0,-1.1,0.91,0.37
103.0,-1.26,1.05,0.2
104.0,-1.39,0.4,-0.17
105.0,-1.76,0.58,0.0
107.0,-1.2,0.53,0.37
108.0,-0.69,0.58,-0.95
109.0,-0.32,0.66,-0.71
110.0,-0.11,-0.06,-0.29
111.0,-0.29,-0.2,-0.11
112.0,-0.15,-0.19,0.24
113.0,-0.54,0.82,0.92
114.0,-2.0,0.97,2.0
115.0,-0.03,-0.14,0.05
116.0,-1.67,0.5,0.8
118.0,-2.0,1.05,0.33
119.0,-1.69,1.95,-0.55
120.0,-0.97,1.73,-0.44
121.0,-0.13,-0.86,-0.25
122.0,-0.8,-0.45,2.0
123.0,-1.0,0.58,-1.51
